"region","valår",Valdeltagande i riksdagsval, procent
"0428 Vingåker","1988",87.9
"0428 Vingåker","1991",87.7
"0428 Vingåker","1994",89.6
"0428 Vingåker","1998",83.9
"0428 Vingåker","2002",82.2
"0428 Vingåker","2006",83.3
"0428 Vingåker","2010",85.9
"0428 Vingåker","2014",88.4
"0461 Gnesta","1973",..
"0461 Gnesta","1976",..
"0461 Gnesta","1979",..
"0461 Gnesta","1982",..
"0461 Gnesta","1985",..
"0461 Gnesta","1988",..
"0461 Gnesta","1991",86.4
"0461 Gnesta","1994",86.7
"0461 Gnesta","1998",81.3
"0461 Gnesta","2002",80.3
"0461 Gnesta","2006",82.6
"0461 Gnesta","2010",85.3
"0461 Gnesta","2014",87.2
"0480 Nyköping","1973",92.6
"0480 Nyköping","1976",93.3
"0480 Nyköping","1979",92.4
"0480 Nyköping","1982",92.8
"0480 Nyköping","1985",91.2
"0480 Nyköping","1988",87.8
"0480 Nyköping","1991",88.6
"0480 Nyköping","1994",88.8
"0480 Nyköping","1998",83.7
"0480 Nyköping","2002",82.7
"0480 Nyköping","2006",84.1
"0480 Nyköping","2010",85.9
"0480 Nyköping","2014",87.4
"0481 Oxelösund","1973",92.2
"0481 Oxelösund","1976",93.1
"0481 Oxelösund","1979",91.9
"0481 Oxelösund","1982",93.2
"0481 Oxelösund","1985",91.6
"0481 Oxelösund","1988",87.1
"0481 Oxelösund","1991",87.8
"0481 Oxelösund","1994",88.8
"0481 Oxelösund","1998",83.2
"0481 Oxelösund","2002",80.9
"0481 Oxelösund","2006",81.9
"0481 Oxelösund","2010",85.0
"0481 Oxelösund","2014",86.0
"0482 Flen","1973",93.5
"0482 Flen","1976",93.1
"0482 Flen","1979",92.3
"0482 Flen","1982",93.2
"0482 Flen","1985",91.2
"0482 Flen","1988",87.3
"0482 Flen","1991",87.0
"0482 Flen","1994",87.7
"0482 Flen","1998",81.4
"0482 Flen","2002",80.3
"0482 Flen","2006",81.9
"0482 Flen","2010",84.7
"0482 Flen","2014",85.4
"0483 Katrineholm","1973",92.5
"0483 Katrineholm","1976",93.0
"0483 Katrineholm","1979",92.3
"0483 Katrineholm","1982",92.8
"0483 Katrineholm","1985",91.2
"0483 Katrineholm","1988",87.8
"0483 Katrineholm","1991",88.3
"0483 Katrineholm","1994",88.1
"0483 Katrineholm","1998",83.5
"0483 Katrineholm","2002",81.2
"0483 Katrineholm","2006",82.8
"0483 Katrineholm","2010",84.7
"0483 Katrineholm","2014",86.0
"0484 Eskilstuna","1973",91.5
"0484 Eskilstuna","1976",92.2
"0484 Eskilstuna","1979",91.1
"0484 Eskilstuna","1982",91.9
"0484 Eskilstuna","1985",89.9
"0484 Eskilstuna","1988",85.0
"0484 Eskilstuna","1991",85.3
"0484 Eskilstuna","1994",85.9
"0484 Eskilstuna","1998",79.7
"0484 Eskilstuna","2002",77.5
"0484 Eskilstuna","2006",79.6
"0484 Eskilstuna","2010",83.3
"0484 Eskilstuna","2014",84.0
"0486 Strängnäs","1973",92.6
"0486 Strängnäs","1976",93.1
"0486 Strängnäs","1979",92.0
"0486 Strängnäs","1982",92.5
"0486 Strängnäs","1985",91.2
"0486 Strängnäs","1988",86.7
"0486 Strängnäs","1991",87.5
"0486 Strängnäs","1994",87.1
"0486 Strängnäs","1998",81.4
"0486 Strängnäs","2002",80.1
"0486 Strängnäs","2006",83.1
"0486 Strängnäs","2010",85.5
"0486 Strängnäs","2014",87.2
"0488 Trosa","1973",..
"0488 Trosa","1976",..
"0488 Trosa","1979",..
"0488 Trosa","1982",..
"0488 Trosa","1985",..
"0488 Trosa","1988",..
"0488 Trosa","1991",88.4
"0488 Trosa","1994",89.1
"0488 Trosa","1998",83.8
"0488 Trosa","2002",83.2
"0488 Trosa","2006",85.5
"0488 Trosa","2010",87.8
"0488 Trosa","2014",89.4
"0509 Ödeshög","1973",91.6
"0509 Ödeshög","1976",92.4
"0509 Ödeshög","1979",91.9
"0509 Ödeshög","1982",92.0
"0509 Ödeshög","1985",91.1
"0509 Ödeshög","1988",88.4
"0509 Ödeshög","1991",88.7
"0509 Ödeshög","1994",88.9
"0509 Ödeshög","1998",83.5
"0509 Ödeshög","2002",80.7
"0509 Ödeshög","2006",82.8
"0509 Ödeshög","2010",85.5
"0509 Ödeshög","2014",87.4
"0512 Ydre","1973",92.7
"0512 Ydre","1976",93.8
